,Conditions,Drug,Smiles,Disease
42,Mild Hypertension,Hydrochlorothiazide,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,cardiovascular_disease
43,Coronary Artery Disease,Vericiguat,COC(=O)NC1=C(N=C(N=C1N)C2=NN(C3=C2C=C(C=N3)F)CC4=CC=CC=C4F)N,cardiovascular_disease
44,Coronary Artery Disease,Isosorbide,C1C(C2C(O1)C(CO2)O)O,cardiovascular_disease
45,Hypertension,Daglutril,CCOC(=O)C(CCC1=CC=CC=C1)CC2(CCCC2)C(=O)NC3CCC4=CC=CC=C4N(C3=O)CC(=O)O,cardiovascular_disease
46,"Arrhythmia, Cardiac",Propafenone,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O,cardiovascular_disease
47,Chronic Stable Angina,Carvedilol,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,cardiovascular_disease
48,Patients With Pace Makers But no Evidence of Ischemic Heart Disease,Moxifloxacin,COC1=C2C(=CC(=C1N3CC4CCCNC4C3)F)C(=O)C(=CN2C5CC5)C(=O)O,cardiovascular_disease
53,ANCA Associated Vasculitis|Granulomatosis With Polyangiitis,Prednisolone,CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O,cardiovascular_disease
54,Acute Coronary Syndrome,Losmapimod,CC1=C(C=C(C=C1F)C(=O)NC2CC2)C3=NC=C(C=C3)C(=O)NCC(C)(C)C,cardiovascular_disease
56,Acute Coronary Syndrome,Clopidogrel,COC(=O)C(C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3,cardiovascular_disease
57,Acute Coronary Syndrome,Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,cardiovascular_disease
58,Dyslipidemia|Coronary Artery Disease,Rosuvastatin,CC(C)C1=NC(=NC(=C1C=CC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C,cardiovascular_disease
62,Multiple Myeloma|Non-Hodgkins Lymphoma|Hodgkins Disease,Plerixafor,C1CNCCNCCCN(CCNC1)CC2=CC=C(C=C2)CN3CCCNCCNCCCNCC3,cardiovascular_disease
65,Non-Hodgkin's Lymphoma|Leukemia|Multiple Myeloma|Acute Myeloid Leukemia|Hodgkin Lymphoma|Chronic Lymphocytic Leukemia|Chronic Myelogenous Leukemia|Myelodysplastic Syndrome,Tacrolimus,CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CC=C)O)C)C(=CC4CCC(C(C4)OC)O)C)O)C)OC)OC,cardiovascular_disease
66,Non-Hodgkin's Lymphoma|Leukemia|Multiple Myeloma|Acute Myeloid Leukemia|Hodgkin Lymphoma|Chronic Lymphocytic Leukemia|Chronic Myelogenous Leukemia|Myelodysplastic Syndrome,Mycophenolate,CC1=C2COC(=O)C2=C(C(=C1OC)CC=C(C)CCC(=O)O)O,cardiovascular_disease
69,"Homocysteine|Coronary Disease|Angioplasty,Balloon,Coronary|Contrast Media|Nephropathy|Hypertension",Enalapril,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CCCC2C(=O)O,cardiovascular_disease
71,Chronic Thromboembolic Pulmonary Hypertension,Macitentan,CCCNS(=O)(=O)NC1=C(C(=NC=N1)OCCOC2=NC=C(C=N2)Br)C3=CC=C(C=C3)Br,cardiovascular_disease
72,Advanced Lymphoma|Advanced Malignant Solid Neoplasm|Hematopoietic and Lymphoid Cell Neoplasm|Refractory Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Multiple Myeloma,Dabrafenib,CC(C)(C)C1=NC(=C(S1)C2=NC(=NC=C2)N)C3=C(C(=CC=C3)NS(=O)(=O)C4=C(C=CC=C4F)F)F,cardiovascular_disease
73,Advanced Lymphoma|Advanced Malignant Solid Neoplasm|Hematopoietic and Lymphoid Cell Neoplasm|Refractory Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Multiple Myeloma,Trametinib,CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC=CC(=C4)NC(=O)C)C5CC5,cardiovascular_disease
74,Ischemic Stroke,Donepezil,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,cardiovascular_disease
78,Multiple Myeloma,Carfilzomib,CC(C)CC(C(=O)C1(CO1)C)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC(C)C)NC(=O)C(CCC3=CC=CC=C3)NC(=O)CN4CCOCC4,cardiovascular_disease
79,Multiple Myeloma,Cyclophosphamide,C1CNP(=O)(OC1)N(CCCl)CCCl,cardiovascular_disease
89,Hyperemia,Brimonidine,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br,cardiovascular_disease
94,Venous Thromboembolism|Cancer,Apixaban,COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N,cardiovascular_disease
96,Multiple Myeloma,Oprozomib,CC1=NC=C(S1)C(=O)NC(COC)C(=O)NC(COC)C(=O)NC(CC2=CC=CC=C2)C(=O)C3(CO3)C,cardiovascular_disease
97,Multiple Myeloma,Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,cardiovascular_disease
100,Anemia|Cardiovascular Disease,Ferumoxytol,O[Fe]=O.O[Fe]=O.[Fe],cardiovascular_disease
101,"Non-Alcoholic Fatty Liver Disease|Obesity|Obesity, Abdominal|Liver Fat|Fatty Liver",Tesamorelin,CCC=CCC(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(C(C)CC)C(=O)NC(CC2=CC=CC=C2)C(=O)NC(C(C)O)C(=O)NC(CC(=O)N)C(=O)NC(CO)C(=O)NC(CC3=CC=C(C=C3)O)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NCC(=O)NC(CCC(=O)N)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(C)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)N)C(=O)NC(CC(=O)O)C(=O)NC(C(C)CC)C(=O)NC(CCSC)C(=O)NC(CO)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)N)C(=O)NCC(=O)NC(CCC(=O)O)C(=O)NC(CO)C(=O)NC(CC(=O)N)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(C)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC(C)C)C(=O)N,cardiovascular_disease
106,Coronary Artery Disease,Ticagrelor,CCCSC1=NC(=C2C(=N1)N(N=N2)C3CC(C(C3O)O)OCCO)NC4CC4C5=CC(=C(C=C5)F)F,cardiovascular_disease
114,Recurrent Plasma Cell Myeloma|Refractory Plasma Cell Myeloma,Ixazomib,B(C(CC(C)C)NC(=O)CNC(=O)C1=C(C=CC(=C1)Cl)Cl)(O)O,cardiovascular_disease
119,Pulmonary Hypertension,Bosentan,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC,cardiovascular_disease
120,Pulmonary Hypertension,Ambrisentan,CC1=CC(=NC(=N1)OC(C(=O)O)C(C2=CC=CC=C2)(C3=CC=CC=C3)OC)C,cardiovascular_disease
128,"Cardiomyopathy, Hypertrophic|Heart Hypertrophy",Cyclosporine,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,cardiovascular_disease
129,Hypertension|Vitamin D Deficiency,Cholecalciferol,CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,cardiovascular_disease
132,Smoldering Multiple Myeloma,Hiltonol,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O.C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O.C(CCNC(=O)O)CN.C(C(=O)O)O,cardiovascular_disease
133,Smoldering Multiple Myeloma,Citarinostat,C1=CC=C(C=C1)N(C2=CC=CC=C2Cl)C3=NC=C(C=N3)C(=O)NCCCCCCC(=O)NO,cardiovascular_disease
135,Atherosclerosis,Darapladib,CCN(CC)CCN(CC1=CC=C(C=C1)C2=CC=C(C=C2)C(F)(F)F)C(=O)CN3C4=C(CCC4)C(=O)N=C3SCC5=CC=C(C=C5)F,cardiovascular_disease
136,Atherosclerosis,Diltiazem,CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC,cardiovascular_disease
141,Mitral Valve Insufficiency|Aortic Valve Insufficiency|Cardiac Disease,Propofol,CC(C)C1=C(C(=CC=C1)C(C)C)O,cardiovascular_disease
142,Mitral Valve Insufficiency|Aortic Valve Insufficiency|Cardiac Disease,Isoflurane,C(C(F)(F)F)(OC(F)F)Cl,cardiovascular_disease
143,Mitral Valve Insufficiency|Aortic Valve Insufficiency|Cardiac Disease,Sevoflurane,C(OC(C(F)(F)F)C(F)(F)F)F,cardiovascular_disease
152,Glaucoma|Ocular Hypertension,Latanoprost,CC(C)OC(=O)CCCC=CCC1C(CC(C1CCC(CCC2=CC=CC=C2)O)O)O,cardiovascular_disease
153,"Stroke, Acute",Desmopressin,C1CC(N(C1)C(=O)C2CSSCCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N,cardiovascular_disease
154,Hypertension,Candesartan,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,cardiovascular_disease
156,Hypertension,Amlodipine,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,cardiovascular_disease
157,Varicose Veins,Polidocanol,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,cardiovascular_disease
163,Congestive Heart Failure,Allopurinol,C1=NNC2=C1C(=O)NC=N2,cardiovascular_disease
164,Coronary Artery Disease,Bradykinin,C1CC(N(C1)C(=O)C2CCCN2C(=O)C(CCCN=C(N)N)N)C(=O)NCC(=O)NC(CC3=CC=CC=C3)C(=O)NC(CO)C(=O)N4CCCC4C(=O)NC(CC5=CC=CC=C5)C(=O)NC(CCCN=C(N)N)C(=O)O,cardiovascular_disease
174,Postural Orthostatic Tachycardia Syndrome|Orthostatic Intolerance,Droxidopa,C1=CC(=C(C=C1C(C(C(=O)O)N)O)O)O,cardiovascular_disease
175,Postural Orthostatic Tachycardia Syndrome|Orthostatic Intolerance,Atenolol,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,cardiovascular_disease
176,Diabetic Retinopathy,Triamcinolone,CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O,cardiovascular_disease
177,Hypertension,Nebivolol,C1CC2=C(C=CC(=C2)F)OC1C(CNCC(C3CCC4=C(O3)C=CC(=C4)F)O)O,cardiovascular_disease
179,Heart Failure,Finerenone,CCOC1=NC=C(C2=C1C(C(=C(N2)C)C(=O)N)C3=C(C=C(C=C3)C#N)OC)C,cardiovascular_disease
180,Heart Failure,Eplerenone,CC12CCC(=O)C=C1CC(C3C24C(O4)CC5(C3CCC56CCC(=O)O6)C)C(=O)OC,cardiovascular_disease
181,Hypertension,Ramipril,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCC3CC2C(=O)O,cardiovascular_disease
186,Multiple Myeloma,Pomalidomide,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)N,cardiovascular_disease
187,Multiple Myeloma,Imetelstat,CCCCCCCCCCCCCCCC(=O)NCC(COP(=S)(O)OCC1C(CC(O1)N2C=C(C(=O)NC2=O)C)NP(=S)(O)OCC3C(CC(O3)N4C=NC5=C(N=CN=C54)N)NP(=S)(O)OCC6C(CC(O6)N7C=NC8=C7N=C(NC8=O)N)NP(=S)(O)OCC9C(CC(O9)N1C=NC2=C1N=C(NC2=O)N)NP(=S)(O)OCC1C(CC(O1)N1C=NC2=C1N=C(NC2=O)N)NP(=S)(O)OCC1C(CC(O1)N1C=C(C(=O)NC1=O)C)NP(=S)(O)OCC1C(CC(O1)N1C=C(C(=O)NC1=O)C)NP(=S)(O)OCC1C(CC(O1)N1C=NC2=C(N=CN=C21)N)NP(=S)(O)OCC1C(CC(O1)N1C=NC2=C1N=C(NC2=O)N)NP(=S)(O)OCC1C(CC(O1)N1C=NC2=C(N=CN=C21)N)NP(=S)(O)OCC1C(CC(O1)N1C=CC(=NC1=O)N)NP(=S)(O)OCC1C(CC(O1)N1C=NC2=C(N=CN=C21)N)NP(=O)(OCC1C(CC(O1)N1C=NC2=C(N=CN=C21)N)N)S)O,cardiovascular_disease
191,Metabolic Syndrome x,Metformin,CN(C)C(=N)N=C(N)N,cardiovascular_disease
194,Metabolic Syndrome x,Fenofibrate,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,cardiovascular_disease
195,Persistent Pulmonary Hypertension|Respiratory Failure,Sildenafil,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C,cardiovascular_disease
202,Heart Failure|Inflammation|Colchicine,Colchicine,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,cardiovascular_disease
208,Multiple Myeloma,Thalidomide,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,cardiovascular_disease
210,"Hypertension, Pulmonary",Simvastatin,CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,cardiovascular_disease
214,Coronary Heart Disease,Pactimibe,CCCCCCCCN1CCC2=C(C(=C(C(=C21)NC(=O)C(C)(C)C)C)CC(=O)O)C,cardiovascular_disease
220,Multiple Myeloma,Fludeoxyglucose,C(C(C(C(C(C=O)F)O)O)O)O,cardiovascular_disease
223,Multiple Myeloma,Panobinostat,CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)C=CC(=O)NO,cardiovascular_disease
225,Hypertension,Lisinopril,C1CC(N(C1)C(=O)C(CCCCN)NC(CCC2=CC=CC=C2)C(=O)O)C(=O)O,cardiovascular_disease
226,High Altitude Pulmonary Hypertension,Bambuterol,CC(C)(C)NCC(C1=CC(=CC(=C1)OC(=O)N(C)C)OC(=O)N(C)C)O,cardiovascular_disease
228,Breast Cancer|Stage I Breast Cancer|Stage II Breast Cancer|Stage III Breast Cancer,Doxorubicin,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,cardiovascular_disease
229,Multiple Myeloma,Ibritumomab,CC(CN(CC(CC1=CC=C(C=C1)NC(=O)NC)N(CC(=O)O)CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,cardiovascular_disease
243,Plasma Cell Myeloma|Refractory Plasma Cell Myeloma,Fludarabine,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)O)F)N,cardiovascular_disease
245,Atrial Fibrillation,Isoproterenol,CC(C)NCC(C1=CC(=C(C=C1)O)O)O,cardiovascular_disease
246,Atrial Fibrillation,Isoprenaline,CC(C)NCC(C1=CC(=C(C=C1)O)O)O,cardiovascular_disease
247,Primary Hypertension,Tadalafil,CN1CC(=O)N2C(C1=O)CC3=C(C2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36,cardiovascular_disease
248,Primary Hypertension,Spironolactone,CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C,cardiovascular_disease
250,Single Ventricle Heart Disease After Fontan Surgery,Udenafil,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)NCCC4CCCN4C)OCCC)C,cardiovascular_disease
251,Multiple Myeloma,Selinexor,C1=CN=C(C=N1)NNC(=O)C=CN2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,cardiovascular_disease
260,Multiple Myeloma,Clarithromycin,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,cardiovascular_disease
265,Cardiovascular Diseases|Heart Diseases|Hypertension,Fosinopril,CCC(=O)OC(C(C)C)OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2CC(CC2C(=O)O)C3CCCCC3,cardiovascular_disease
274,Stroke|Cerebrovascular Accident,Citrulline,C(CC(C(=O)O)N)CNC(=O)N,cardiovascular_disease
275,Multiple Myeloma,Ibrutinib,C=CC(=O)N1CCCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N,cardiovascular_disease
278,Stroke,Exenatide,CCC(C)C(C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)NC(CC(=O)N)C(=O)NCC(=O)NCC(=O)N3CCCC3C(=O)NC(CO)C(=O)NC(CO)C(=O)NCC(=O)NC(C)C(=O)N4CCCC4C(=O)N5CCCC5C(=O)N6CCCC6C(=O)NC(CO)C(=O)N)NC(=O)C(CC7=CC=CC=C7)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(C(C)C)NC(=O)C(C)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCSC)NC(=O)C(CCC(=O)N)NC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC8=CC=CC=C8)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)CNC(=O)C(CC9=CNC=N9)N,cardiovascular_disease
283,"Follicular Lymphoma|Marginal Zone Lymphoma|Mantle Cell Lymphoma|Small Lymphocytic Lymphoma|Lymphoplasmacytic Lymphoma|Low Grade B-cell Lymphoma, Not Otherwise Specified|Diffuse Large B-cell Lymphoma|Peripheral T-cell Lymphoma|Angioimmunoblastic T-cell Lymphoma|Anaplastic Large-cell Lymphoma",Clofarabine,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)F)Cl)N,cardiovascular_disease
287,Multiple Myeloma,Prednisone,CC12CC(=O)C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C,cardiovascular_disease
291,"Idiopathic Interstitial Pneumonias / Hypertension,Pulmonary",Riociguat,CN(C1=C(N=C(N=C1N)C2=NN(C3=C2C=CC=N3)CC4=CC=CC=C4F)N)C(=O)OC,cardiovascular_disease
299,Thromboembolic Disorders,Rivaroxaban,C1COCC(=O)N1C2=CC=C(C=C2)N3CC(OC3=O)CNC(=O)C4=CC=C(S4)Cl,cardiovascular_disease
303,Intracerebral Hemorrhage,Pioglitazone,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,cardiovascular_disease
304,Open-angle Glaucoma|Ocular Hypertension,Travoprost,CC(C)OC(=O)CCCC=CCC1C(CC(C1C=CC(COC2=CC=CC(=C2)C(F)(F)F)O)O)O,cardiovascular_disease
310,Myeloma,Topotecan,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O,cardiovascular_disease
317,Venous Thromboembolism|Deep Venous Thrombosis|Pulmonary Embolus|Reconstructive Surgery,Enoxaparin,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O,cardiovascular_disease
320,Cardiac Arrest,Ubiquinol,CC1=C(C(=C(C(=C1O)OC)OC)O)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,cardiovascular_disease
321,Cardiac Catheterization|Blood Pressure|Heart Ventricles|Echocardiography|Heart Failure,Perflubutane,C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F,cardiovascular_disease
322,Hypertension,Rostafuroxin,CC12CCC(CC1CCC3C2CCC4(C3(CCC4(C5=COC=C5)O)O)C)O,cardiovascular_disease
323,Hypertension,Losartan,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl,cardiovascular_disease
332,Multiple Myeloma in Relapse|Multiple Myeloma Progression|Multiple Myeloma With Failed Remission,Tinostamustine,CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCCCCC(=O)NO,cardiovascular_disease
334,Coronary Artery Disease,Iopamidol,CC(C(=O)NC1=C(C(=C(C(=C1I)C(=O)NC(CO)CO)I)C(=O)NC(CO)CO)I)O,cardiovascular_disease
344,Intermittent Claudication,Cilostazol,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,cardiovascular_disease
349,Coronary Stenosis|Diabetes Mellitus,Paclitaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,cardiovascular_disease
360,Non Hodgkin Lymphoma|Follicular Lymphoma|Indolent Lymphoma|B-cell Lymphoma|Transformed Lymphoma|Marginal Zone Lymphoma|Waldenstrom Macroglobulinemia|Small Lymphocytic Lymphoma|Lymphoplasmacytic Lymphoma,Idelalisib,CCC(C1=NC2=C(C(=CC=C2)F)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5,cardiovascular_disease
374,Atrial Fibrillation,Warfarin,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,cardiovascular_disease
378,Heart Failure,Pyridostigmine,C[N+]1=CC=CC(=C1)OC(=O)N(C)C,cardiovascular_disease
385,Leukemia|Lymphoma|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic Syndromes,Thiotepa,C1CN1P(=S)(N2CC2)N3CC3,cardiovascular_disease
